Ticker,Is 3/4 bar play,Has acceptable spreads
SBLK,False,True
DFH,False,True
VERX,False,False
LZ,False,True
REE,False,True
IART,False,False
SYKE,,
DISH,,
RCII,,
BHF,,
SHC,,
CRVL,,
CSIQ,,
DOOO,,
AMKR,,
ONEM,,
NVCR,,
FYBR,,
SYNA,,
QRTEB,,
VCYT,,
LPSN,,
CELH,,
BLKB,,
GRMN,,
LAUR,,
AMZN,,
GOCO,,
SKIN,,
APPN,,
QCOM,,
CENTA,,
PAAS,,
DISCB,,
AUB,,
VEON,,
QRTEA,,
MOMO,,
NFLX,,
ANSS,,
CLDX,,
FSLR,,
GILD,,
EXPE,,
LBTYA,,
URBN,,
BNTX,,
PCTY,,
ALGM,,
MDRX,,
IRWD,,
COHR,,
MCFE,,
QDEL,,
KYMR,,
MRCY,,
SPSC,,
CHNG,,
QLYS,,
ESGR,,
MSFT,,
SSNC,,
VRSK,,
LFUS,,
SEDG,,
TRIP,,
FUTU,,
CASY,,
IPGP,,
CRSP,,
NWS,,
VRSN,,
SASR,,
REGI,,
WYNN,,
HALO,,
KDP,,
LTRPB,,
ESLT,,
EEFT,,
SUMO,,
XMTR,,
CENT,,
BYND,,
DNUT,,
ASO,,
KOD,,
AAL,,
SHOO,,
HOMB,,
GSHD,,
BSY,,
ACCD,,
PENN,,
CRTX,,
PTC,,
SDGR,,
IBKR,,
NVAX,,
MCHP,,
SBGI,,
MQ,,
PTON,,
VNET,,
POWI,,
BZ,,
ERAS,,
IRDM,,
RUN,,
FSV,,
MRTX,,
SMFR,,
OZK,,
BEAM,,
GLPG,,
SWAV,,
AAON,,
AXON,,
HCAT,,
SATS,,
IOVA,,
CTXS,,
ODFL,,
AKAM,,
VIRT,,
SAVA,,
NTNX,,
TTGT,,
PPBI,,
VERV,,
VNOM,,
ROST,,
MASI,,
RPD,,
LAZR,,
SPLK,,
JACK,,
TPTX,,
LSXMA,,
UNIT,,
CHDN,,
ABSI,,
BIGC,,
ALLK,,
APLS,,
WLTW,,
PRFT,,
NTLA,,
INSM,,
NDSN,,
ADV,,
AMAT,,
BIIB,,
ITRI,,
NATI,,
PTGX,,
ROKU,,
TMUS,,
ZS,,
EXEL,,
WEN,,
LBRDA,,
AGIO,,
ENSG,,
HIMX,,
PRVA,,
ZNGA,,
HLIO,,
OCDX,,
EWBC,,
WAFD,,
COIN,,
AMD,,
MKTW,,
ENVX,,
VIACA,,
