Ticker,Is 3/4 bar play,Has acceptable spreads
IEP,False,True
GBT,False,False
ANAT,,
RVMD,,
WYNN,,
DISCB,,
TER,,
PNFP,,
VRNT,,
FWRD,,
CYRX,,
LOB,,
ARVN,,
LIVN,,
COST,,
PBCT,,
INTU,,
SSNC,,
FROG,,
AMD,,
FFBC,,
JD,,
PSEC,,
UMPQ,,
UFPI,,
VIRT,,
CENT,,
CAR,,
LAZR,,
PPBI,,
RCM,,
TWST,,
RLAY,,
INTC,,
TSCO,,
OLLI,,
SASR,,
ALGN,,
VSAT,,
MDLZ,,
AUB,,
TGTX,,
NTAP,,
FWONA,,
SRNG,,
FMBI,,
SBUX,,
BIDU,,
VRSN,,
CHK,,
FB,,
LTRPB,,
CTSH,,
SPLK,,
TSLA,,
LSXMK,,
CATY,,
LKQ,,
GDS,,
WDC,,
AY,,
AFYA,,
LBTYK,,
TNDM,,
WERN,,
NVAX,,
ON,,
FANG,,
CLOV,,
APP,,
LGIH,,
PLUG,,
SABR,,
ADP,,
AZN,,
NICE,,
HELE,,
GILD,,
BGNE,,
CFLT,,
FA,,
SFNC,,
INSM,,
VG,,
KHC,,
PAYX,,
MLHR,,
FHB,,
MASI,,
DIOD,,
MORF,,
SANA,,
BPMC,,
CRSR,,
TCBI,,
KC,,
JJSF,,
VNET,,
YNDX,,
AFRM,,
AGNC,,
MOMO,,
HLIO,,
REYN,,
AGIO,,
LFUS,,
BIGC,,
ERAS,,
PTGX,,
NVCR,,
XLNX,,
HLMN,,
BMBL,,
SWTX,,
FRHC,,
RPD,,
CRVL,,
AAON,,
CDNA,,
FWONK,,
RYAAY,,
JACK,,
TDUP,,
STAA,,
FLWS,,
PDCE,,
DISH,,
LILA,,
CHDN,,
SMTC,,
QRVO,,
TBLA,,
VNOM,,
VRM,,
MQ,,
VERV,,
NTLA,,
TMUS,,
JBHT,,
FEYE,,
LBTYB,,
LOGI,,
RCII,,
SGEN,,
CLDX,,
WSC,,
ONEM,,
Z,,
ZI,,
IBOC,,
PECO,,
VRNS,,
LAMR,,
FFIE,,
BNTX,,
ENVX,,
MGLN,,
ALRM,,
APPS,,
FOXF,,
PCTY,,
ARNA,,
FOLD,,
PODD,,
BBBY,,
HOMB,,
OPCH,,
SBLK,,
ACGL,,
BRKS,,
BCRX,,
WING,,
ADSK,,
ALEC,,
SNY,,
SPT,,
ASND,,
ALKS,,
MKTW,,
MNDY,,
CHRW,,
MCHP,,
CONE,,
AVAV,,
ZION,,
AVGO,,
RXRX,,
FLYW,,
SDGR,,
ERIE,,
TRMB,,
ALHC,,
CERN,,
CHTR,,
FFIV,,
FISV,,
GOOGL,,
XPER,,
HALO,,
FOCS,,
HTHT,,
CTAS,,
BRKR,,
LBRDK,,
JBLU,,
CENTA,,
CRCT,,
CSCO,,
IRCP,,
DCT,,
ILMN,,
QCOM,,
SGRY,,
RPAY,,
LNT,,
PYPL,,
NWSA,,
CDK,,
POWI,,
LPLA,,
PDD,,
RUN,,
IART,,
ROIC,,
DRVN,,
KRTX,,
TTD,,
ANSS,,
KYMR,,
EWBC,,
DOCU,,
SBRA,,
PACW,,
INFN,,
PTRA,,
CG,,
MODV,,
MRTX,,
SFM,,
CERE,,
HBAN,,
GLPI,,
ADV,,
GNTX,,
ASML,,
LPRO,,
MYGN,,
PRTA,,
CSIQ,,
RMBS,,
SBAC,,
MNTV,,
IAC,,
AMZN,,
LI,,
NWE,,
HEPS,,
UPST,,
AMBA,,
ERIC,,
MTCH,,
DOX,,
ME,,
FIBK,,
BOKF,,
POSH,,
SYKE,,
BLDP,,
NSTG,,
PRGS,,
CGC,,
ITCI,,
CSGP,,
ICLR,,
ADBE,,
LAUR,,
CBSH,,
SKYW,,
SYNH,,
EEFT,,
VCEL,,
DNUT,,
NOVT,,
QFIN,,
ZS,,
COLM,,
AMAT,,
RETA,,
XEL,,
LHCG,,
DXCM,,
REE,,
FCNCA,,
FIVN,,
ISBC,,
XPEL,,
IPAR,,
STLD,,
ALGT,,
DISCA,,
EYE,,
PCH,,
BLMN,,
ABMD,,
NFE,,
CREE,,
CRNC,,
SNBR,,
TECH,,
RXT,,
HUBG,,
AAPL,,
BECN,,
IPGP,,
LRCX,,
MARA,,
MNST,,
UBSI,,
WAFD,,
NTRS,,
GBCI,,
CHX,,
BL,,
GLBE,,
FSV,,
OMCL,,
APPF,,
MSFT,,
SHCR,,
IMAB,,
KTOS,,
CASY,,
AAL,,
IOVA,,
INCY,,
MVST,,
SUMO,,
GT,,
CMPR,,
JOBS,,
SPWR,,
TCOM,,
EXLS,,
CRTO,,
TROW,,
CPRT,,
PZZA,,
PAAS,,
SYNA,,
ANGI,,
LFST,,
LYEL,,
MDRX,,
AAWW,,
MMSI,,
NBIX,,
NCNO,,
EXPD,,
NDSN,,
NXPI,,
SHC,,
DCBO,,
SIGI,,
XRAY,,
SRNE,,
SANM,,
TPTX,,
DFH,,
FIZZ,,
SKIN,,
