Ticker,Is 3/4 bar play,Has acceptable spreads
IHRT,False,False
LSTR,False,False
DUOL,False,False
LILAK,False,False
VRSN,False,False
LBTYA,False,False
API,False,False
HBAN,False,False
AVGO,False,True
RVMD,False,False
NUVA,False,False
ATVI,False,True
TXG,False,False
EVGO,False,False
SFNC,False,False
AEIS,False,False
UCTT,False,False
ULTA,False,True
DISCK,,
EQIX,,
PCRX,,
SPWR,,
FROG,,
WIX,,
DOCU,,
DISH,,
KRNT,,
NTRS,,
COMM,,
CSCO,,
IQ,,
CRTO,,
VRRM,,
LZ,,
ASTR,,
BPOP,,
IAS,,
PLXS,,
RCM,,
LPSN,,
AAWW,,
CVET,,
WDAY,,
ZLAB,,
CLDX,,
KNSL,,
MKSI,,
ROIC,,
IBOC,,
CRNC,,
FMBI,,
MANT,,
PACW,,
ACAD,,
PEGA,,
SEDG,,
COKE,,
FOXF,,
LFST,,
INMD,,
SRNE,,
BSY,,
SRNG,,
CHRW,,
EDIT,,
VG,,
COLB,,
IBRX,,
HOLX,,
JKHY,,
NTES,,
NTRA,,
ABCL,,
ASML,,
INCY,,
FRME,,
LITE,,
SLGN,,
ACCD,,
BRP,,
ICUI,,
NSIT,,
SAVA,,
AMED,,
CVLT,,
GH,,
CRON,,
ARGX,,
HOMB,,
CDNA,,
ALKS,,
TRIP,,
JBHT,,
UBSI,,
PLUG,,
CDK,,
ZI,,
CMPR,,
RCII,,
VIACA,,
STLD,,
BZ,,
TIGO,,
MRVI,,
ESLT,,
PPC,,
CRTX,,
NOVT,,
HALO,,
TGTX,,
SOFI,,
LNT,,
IDXX,,
HZNP,,
LULU,,
UMBF,,
ROST,,
WAFD,,
CHKP,,
MNDY,,
WOOF,,
QLYS,,
MMYT,,
OZK,,
FATE,,
NKLA,,
SABR,,
SIGI,,
DRVN,,
AEP,,
NWSA,,
ABCM,,
CG,,
JD,,
BHF,,
XP,,
RXT,,
ZBRA,,
MDLZ,,
CERN,,
SBLK,,
RLAY,,
GNTX,,
AUB,,
SPSC,,
MEOH,,
ALGN,,
NWL,,
DXCM,,
TER,,
PRFT,,
SBAC,,
BECN,,
NFE,,
VIAV,,
VIR,,
FTDR,,
GRFS,,
VNET,,
LRCX,,
CVAC,,
DADA,,
INSM,,
POSH,,
PRTA,,
GILD,,
TDUP,,
IRDM,,
MODV,,
PNFP,,
EVCM,,
HAS,,
IAC,,
MORN,,
BBIO,,
SSRM,,
ALNY,,
INOV,,
BEAM,,
HHR,,
FUTU,,
SMPL,,
LI,,
PECO,,
NVAX,,
ETSY,,
IOSP,,
SHOO,,
ALGM,,
CDW,,
SIMO,,
SRPT,,
CAKE,,
TMUS,,
JJSF,,
MKTW,,
RIOT,,
PEP,,
VRTX,,
TCOM,,
AAON,,
VTRS,,
CRWD,,
SANA,,
ONB,,
VERV,,
GOOGL,,
QRTEB,,
APPS,,
AMBA,,
PLMR,,
UHAL,,
CBRL,,
WDFC,,
TECH,,
LCID,,
TSLA,,
