Ticker,Is 3/4 bar play,Has acceptable spreads
DCBO,False,False
REGN,False,False
GRUB,,
EA,,
WDC,,
SRPT,,
CACC,,
SWIM,,
LKQ,,
SHLS,,
SAGE,,
LITE,,
INTU,,
FOCS,,
WB,,
CME,,
AFYA,,
NBIX,,
RCM,,
MIDD,,
MU,,
LBTYK,,
LPRO,,
SIGI,,
JJSF,,
PBCT,,
EBAY,,
CFLT,,
CORT,,
FLEX,,
COOP,,
PTRA,,
INSM,,
ERIE,,
VLY,,
AMGN,,
BIGC,,
XPER,,
COST,,
ERIC,,
GRFS,,
IPAR,,
SBGI,,
YY,,
DCT,,
GLPG,,
VCEL,,
ICUI,,
VERX,,
FLWS,,
BSY,,
FULT,,
PACB,,
REE,,
FIVN,,
CTKB,,
INMD,,
AMCX,,
PODD,,
SHC,,
NUAN,,
ANSS,,
BHF,,
POSH,,
ULCC,,
NWE,,
SNPS,,
ON,,
ZION,,
CSX,,
CROX,,
LBRDK,,
RUN,,
TXN,,
MEDP,,
CHRW,,
HQY,,
CENT,,
LBRDA,,
NVMI,,
KTOS,,
LESL,,
CRVL,,
NMRK,,
DRNA,,
EXPO,,
HUBG,,
OTEX,,
CGNX,,
GBT,,
SDGR,,
LFUS,,
SPSC,,
POOL,,
BLKB,,
CRUS,,
BLI,,
BYND,,
STMP,,
BMRN,,
BMBL,,
BRKR,,
VICR,,
IBTX,,
SABR,,
DLTR,,
GBCI,,
LSCC,,
COHR,,
AAWW,,
RVMD,,
LOGI,,
XP,,
OMAB,,
NXPI,,
VG,,
RGLD,,
ABCM,,
ORLY,,
CYRX,,
SWAV,,
SATS,,
XLRN,,
GRWG,,
TBIO,,
BILI,,
BNR,,
DOMO,,
FCNCA,,
SPT,,
TIGR,,
MYGN,,
TPTX,,
HYFM,,
EXPE,,
SRNG,,
NATI,,
PRFT,,
SBUX,,
DNLI,,
FANG,,
CSCO,,
PGNY,,
SFIX,,
WMG,,
AEP,,
TWST,,
IRWD,,
ONB,,
CWST,,
Z,,
CDNA,,
APPF,,
GT,,
HLNE,,
RAVN,,
AMEH,,
AMED,,
ZM,,
UFPI,,
MCHP,,
MELI,,
SYNA,,
ALLO,,
CAKE,,
FORM,,
ABSI,,
FLGT,,
ODP,,
SLAB,,
MRTX,,
ETSY,,
TTEC,,
PEP,,
CBSH,,
CMCSA,,
MVIS,,
VIACA,,
CASY,,
YNDX,,
FCFS,,
SIMO,,
TCBI,,
MTCH,,
TDUP,,
VIR,,
KLAC,,
PCRX,,
PFG,,
ASML,,
PENN,,
LTRPB,,
TMUS,,
FFIN,,
SRCL,,
HBAN,,
MOMO,,
REYN,,
CTRE,,
INDB,,
AAL,,
TASK,,
NSTG,,
NWS,,
MIME,,
BBBY,,
FFBC,,
NEO,,
PCAR,,
IHRT,,
VTRS,,
WEN,,
ISBC,,
ENVX,,
LBTYA,,
DOX,,
DKNG,,
ALGN,,
MLCO,,
SPLK,,
MXIM,,
FLYW,,
BLDP,,
MLHR,,
LGIH,,
OTLY,,
KNBE,,
SNBR,,
WING,,
AVGO,,
AMAT,,
AMBA,,
GNTX,,
RLAY,,
QRVO,,
LILA,,
VRSK,,
FB,,
GLPI,,
UTHR,,
CPRT,,
FRHC,,
LANC,,
BCRX,,
CSOD,,
FATE,,
UNIT,,
GO,,
CERN,,
MKSI,,
OPEN,,
WLTW,,
WOOF,,
UAL,,
DISH,,
CVBF,,
TBLA,,
PYCR,,
TLRY,,
SAFM,,
PLTK,,
CREE,,
NDSN,,
IART,,
FYBR,,
ACCD,,
COMM,,
ALNY,,
SAVA,,
GH,,
CVAC,,
PDCE,,
SWKS,,
ESLT,,
KRNT,,
FTNT,,
DRVN,,
SKIN,,
VEON,,
ITCI,,
MKTX,,
QDEL,,
SAIA,,
PTCT,,
ACVA,,
ENTG,,
PDD,,
APA,,
AXON,,
RDFN,,
POWI,,
RGEN,,
SPWR,,
TXG,,
HTHT,,
KHC,,
MRCY,,
TGTX,,
RPD,,
IIVI,,
MVST,,
ENSG,,
ARCC,,
TCOM,,
VERV,,
INFN,,
LSXMA,,
NVAX,,
LEGN,,
IOSP,,
LNT,,
CLOV,,
ADV,,
MODV,,
DSGX,,
FIZZ,,
FHB,,
TTD,,
XM,,
PPD,,
CBRL,,
CTAS,,
LYEL,,
WISH,,
FUTU,,
SGEN,,
STNE,,
VCYT,,
LBTYB,,
LIVN,,
JKHY,,
TSLA,,
AIMC,,
CONE,,
NXST,,
ICLR,,
FIBK,,
FIVE,,
CVLT,,
NWL,,
SSB,,
BNTX,,
DORM,,
VCTR,,
FSV,,
