Ticker,Is 3/4 bar play,Has acceptable spreads
CVAC,False,True
PPD,,
HCAT,,
GMAB,,
FIVN,,
FOCS,,
EBAY,,
OLLI,,
CHK,,
CACC,,
WW,,
ERAS,,
RXRX,,
SAIA,,
CSGP,,
CONE,,
LPLA,,
AVT,,
MRTX,,
SSNC,,
WSC,,
RRR,,
ANAT,,
BOKF,,
FIVE,,
ARVL,,
PEP,,
XMTR,,
RPD,,
FRHC,,
BEAM,,
NTRA,,
PAAS,,
LITE,,
BBIO,,
SKIN,,
NLOK,,
TIL,,
VRSN,,
MRVI,,
SFNC,,
TCBI,,
UAL,,
DORM,,
VRTX,,
MIDD,,
ICLR,,
CATY,,
SBNY,,
SYNH,,
BIGC,,
PTC,,
MMYT,,
CROX,,
ENPH,,
CVET,,
EWBC,,
FOLD,,
RXT,,
ULCC,,
XPEL,,
DSGX,,
PAYX,,
TDUP,,
DUOL,,
AXNX,,
ESLT,,
JBLU,,
AMRS,,
VSAT,,
INFN,,
BGNE,,
ACVA,,
PPBI,,
ODFL,,
ALHC,,
SABR,,
FOX,,
QLYS,,
LYFT,,
SONO,,
NEO,,
EA,,
IBRX,,
OCDX,,
VG,,
AAL,,
ACHC,,
LOPE,,
FMBI,,
FWONA,,
LTRPB,,
WB,,
ALNY,,
DISCA,,
KRNT,,
CRWD,,
SNBR,,
RYAAY,,
FTDR,,
TWST,,
UTHR,,
HLIO,,
CENTA,,
RCII,,
MNTV,,
DOMO,,
CVBF,,
FSLR,,
GDS,,
TW,,
BLKB,,
TEAM,,
DSEY,,
CYBR,,
PSEC,,
TRIP,,
IEP,,
SFM,,
AMCX,,
LPRO,,
QRTEA,,
COIN,,
CGC,,
BNTX,,
PACB,,
JD,,
ABNB,,
RCKT,,
WYNN,,
PTCT,,
CTRE,,
OTLY,,
MAT,,
TSP,,
SWKS,,
MNDY,,
SEER,,
RIOT,,
FCFS,,
OTTR,,
HYFM,,
REG,,
FELE,,
CVCO,,
POOL,,
OMCL,,
BPMC,,
HQY,,
CYTK,,
DRNA,,
VCYT,,
WKME,,
SNY,,
API,,
LILAK,,
SBLK,,
APPF,,
ARNA,,
FWONK,,
CYRX,,
CTKB,,
AHCO,,
GBDC,,
AGIO,,
WEN,,
GBT,,
SBAC,,
VIR,,
DBX,,
DLTR,,
CRUS,,
ARWR,,
ALGN,,
UMPQ,,
PCAR,,
RPAY,,
SGEN,,
SSRM,,
VRNS,,
OLED,,
MTCH,,
FRPT,,
MVIS,,
MYGN,,
MASI,,
NXPI,,
PENN,,
GO,,
LOB,,
SKYW,,
ERIE,,
MRVL,,
HOMB,,
ITRI,,
VCTR,,
ATRC,,
IART,,
AMKR,,
INSM,,
INTU,,
CDW,,
THRM,,
EXLS,,
ABSI,,
ANGI,,
CIGI,,
HCM,,
MELI,,
NSIT,,
RVNC,,
SASR,,
LIVN,,
ROST,,
CHNG,,
JCOM,,
GBCI,,
DADA,,
ABMD,,
AMED,,
LANC,,
CSOD,,
PFG,,
GLPG,,
SLGN,,
RUN,,
DOOO,,
TREE,,
VRM,,
KHC,,
TER,,
ALTR,,
UPST,,
SRNG,,
MSTR,,
STLD,,
CRON,,
CTSH,,
HON,,
CMPR,,
SHOO,,
SIGI,,
STMP,,
VEON,,
GLBE,,
BRP,,
GDRX,,
HLMN,,
FFIV,,
NFLX,,
NUAN,,
ANSS,,
FHB,,
IDCC,,
TGTX,,
ALXO,,
LSXMB,,
STAA,,
ALLO,,
ESGR,,
QFIN,,
VC,,
PODD,,
ARVN,,
HHR,,
NDSN,,
LEGN,,
CCMP,,
CDNA,,
BRKR,,
UPWK,,
CRNC,,
LBTYB,,
NTAP,,
ALLK,,
TXRH,,
SMFR,,
AZN,,
BKNG,,
ALEC,,
LZ,,
DISCK,,
EVGO,,
CNXC,,
PLUG,,
PINC,,
HLNE,,
BAND,,
LCID,,
NVMI,,
SDGR,,
SEDG,,
MDLZ,,
PYCR,,
AEIS,,
TOWN,,
MQ,,
GSHD,,
DNUT,,
RETA,,
UBSI,,
CDLX,,
BZ,,
MIME,,
PRVA,,
LSCC,,
AAON,,
SDC,,
GILD,,
CG,,
UNIT,,
IDXX,,
VERV,,
WWD,,
HSKA,,
LSXMK,,
TSCO,,
PAA,,
ZI,,
SRPT,,
NXST,,
VIAV,,
ROCK,,
FORM,,
GNTX,,
SGRY,,
EYE,,
COOP,,
COMM,,
TSEM,,
MGEE,,
PEGA,,
AAWW,,
JACK,,
KTOS,,
ILMN,,
SWIM,,
TECH,,
JAZZ,,
FYBR,,
MDRX,,
TBLA,,
FANG,,
AMAT,,
VNOM,,
IAC,,
IHRT,,
KNSL,,
MNST,,
PLTK,,
SGMS,,
STNE,,
MPWR,,
SLAB,,
UHAL,,
LFUS,,
CSIQ,,
MRNA,,
PRTA,,
PTRA,,
TTEC,,
NATI,,
SRNE,,
LNT,,
TTEK,,
AGNC,,
AUB,,
CLOV,,
CSCO,,
ODP,,
CERT,,
RGEN,,
SPLK,,
SBRA,,
NVAX,,
VRSK,,
PDCE,,
GLPI,,
LAUR,,
KDP,,
PTON,,
LULU,,
NTRS,,
IBOC,,
AMEH,,
OPCH,,
TTD,,
EEFT,,
MANT,,
MCFE,,
OKTA,,
SIMO,,
ALRM,,
SWTX,,
UCBI,,
VRRM,,
CLDX,,
ASTR,,
FUTU,,
SOFI,,
CME,,
SYKE,,
MCHP,,
FSV,,
MU,,
KOD,,
NTES,,
UFPI,,
VIRT,,
MORF,,
ADP,,
CSX,,
JJSF,,
IRBT,,
ZNGA,,
ROKU,,
COHR,,
SMPL,,
WAFD,,
EXAS,,
ARCC,,
