Ticker,Is 3/4 bar play,Has acceptable spreads
HOMB,False,True
POSH,False,True
FORM,False,False
TPTX,False,True
VTRS,False,True
NWL,False,True
SANM,False,False
DRNA,,
FSV,,
ALLK,,
CCMP,,
IIVI,,
XLNX,,
ZG,,
AXNX,,
DUOL,,
AY,,
PEGA,,
TLRY,,
HSKA,,
ORLY,,
HIMX,,
LITE,,
NTRA,,
SIRI,,
HCM,,
OPEN,,
VIR,,
HZNP,,
STNE,,
PDD,,
ROKU,,
STLD,,
RMBS,,
JJSF,,
MMSI,,
XM,,
VRNS,,
CRSP,,
CFLT,,
PTCT,,
ALTR,,
SIGI,,
Z,,
BILI,,
WSC,,
ISRG,,
SEER,,
CDK,,
VLY,,
DDOG,,
FSLR,,
COIN,,
DOX,,
GOCO,,
EQIX,,
FOLD,,
MU,,
PLTK,,
KRTX,,
SANA,,
LYFT,,
SWKS,,
CYBR,,
SRCL,,
POWI,,
EWBC,,
SIVB,,
PACB,,
VIRT,,
IBKR,,
VRTX,,
BHF,,
ENPH,,
FOXF,,
ADI,,
ESLT,,
CTKB,,
FTDR,,
MAT,,
PDCO,,
TTGT,,
IDCC,,
BRKS,,
QRTEB,,
WMG,,
ROIC,,
NDSN,,
IEP,,
TWOU,,
ABSI,,
HBAN,,
FCNCA,,
ICLR,,
MOMO,,
APPN,,
MRVL,,
NEO,,
OSTK,,
CVCO,,
YNDX,,
CME,,
RPAY,,
SYNA,,
LGIH,,
MXIM,,
PZZA,,
SPSC,,
SASR,,
YY,,
ANSS,,
VRTS,,
HLMN,,
LESL,,
AMZN,,
DKNG,,
DOMO,,
PFG,,
SHOO,,
REYN,,
BPMC,,
SAIA,,
SAVA,,
RUSHB,,
MGNI,,
ME,,
QRTEA,,
AKAM,,
COST,,
SAGE,,
XLRN,,
IOVA,,
CWST,,
NLOK,,
SWIM,,
INTU,,
FWONK,,
CASY,,
LFST,,
CD,,
FITB,,
EA,,
CACC,,
RPD,,
TBIO,,
TIGO,,
FLYW,,
AMBA,,
GOOG,,
CTRE,,
FLEX,,
SLGN,,
ZI,,
SGEN,,
IDXX,,
CHX,,
BBIO,,
CELH,,
IBRX,,
UNIT,,
WIX,,
LILA,,
VIAV,,
IONS,,
LFUS,,
FFBC,,
XEL,,
VRRM,,
SATS,,
CZR,,
BIIB,,
MVST,,
MNST,,
CAKE,,
MLHR,,
FIZZ,,
ICUI,,
WYNN,,
API,,
REGI,,
KTOS,,
LAUR,,
PPC,,
ADP,,
LCID,,
REE,,
RLAY,,
MARA,,
ALKT,,
ABCM,,
BGNE,,
HYFM,,
DADA,,
TECH,,
LANC,,
OPK,,
VCTR,,
BOKF,,
LBTYA,,
WOOF,,
JKHY,,
QLYS,,
EXC,,
TTD,,
TWST,,
PODD,,
CVET,,
GBCI,,
COMM,,
SMPL,,
SMTC,,
ENTG,,
PTRA,,
FEYE,,
