Ticker,Is 3/4 bar play,Has acceptable spreads
PSMT,False,False
STFC,,
CERE,,
ODP,,
CDLX,,
CSQ,,
COIN,,
PLUG,,
LOPE,,
EVBG,,
RPAY,,
UNIT,,
LAZR,,
ME,,
HAIN,,
EDIT,,
SPSC,,
CHKP,,
TENB,,
ONB,,
BEAM,,
NFLX,,
SIMO,,
EWBC,,
BBBY,,
DDOG,,
TIGO,,
BHF,,
CFLT,,
IIVI,,
ASO,,
JD,,
PACB,,
VIR,,
DRVN,,
CREE,,
RDFN,,
TREE,,
CROX,,
SANM,,
PTRA,,
NTCT,,
DOMO,,
RCKT,,
AVIR,,
TIL,,
SLAB,,
ALXO,,
CENTA,,
PCH,,
ATAI,,
QRVO,,
CSGP,,
LYFT,,
CHRW,,
MKSI,,
DFH,,
MDB,,
PCRX,,
RAVN,,
PAYX,,
EVCM,,
VIRT,,
ETSY,,
IPGP,,
PODD,,
SONO,,
HSKA,,
LOGI,,
KYMR,,
NEO,,
SFIX,,
NTNX,,
SANA,,
FMBI,,
COUP,,
GSHD,,
INDB,,
ALEC,,
VC,,
MLHR,,
CERN,,
ANGI,,
FAST,,
EA,,
IART,,
STMP,,
WDAY,,
SRNG,,
HAS,,
FA,,
NSTG,,
GILD,,
PRTA,,
MASI,,
SYNA,,
VERX,,
TGTX,,
NWS,,
FISV,,
ITRI,,
CACC,,
NFE,,
TOWN,,
ALGM,,
BRKR,,
CYBR,,
ADPT,,
CVET,,
TECH,,
AEIS,,
ULCC,,
VCEL,,
BL,,
CORT,,
LKQ,,
HST,,
ALLO,,
OTTR,,
QLYS,,
TTGT,,
SHLS,,
FLYW,,
LSXMB,,
AAON,,
CME,,
IRDM,,
UFPI,,
WSFS,,
JOBS,,
FHB,,
Z,,
VIACA,,
MGNI,,
FFIE,,
SAGE,,
BCRX,,
IRCP,,
ARGX,,
GLBE,,
CCMP,,
EVGO,,
ON,,
SITM,,
WWD,,
PTGX,,
ATVI,,
QRTEA,,
MYGN,,
TPTX,,
CGNX,,
HIMX,,
VEON,,
QRTEB,,
ROKU,,
IOSP,,
SMPL,,
ERIE,,
GOOGL,,
SUMO,,
LAMR,,
RRR,,
WBA,,
RUSHB,,
IHRT,,
NXPI,,
WTFC,,
HLIO,,
CBRL,,
DKNG,,
BGCP,,
COOP,,
MANT,,
SIGI,,
JKHY,,
MIME,,
ICUI,,
ABSI,,
HALO,,
GLPG,,
MRVL,,
NVAX,,
PGNY,,
FOCS,,
NTRA,,
FCNCA,,
PDCE,,
SBGI,,
TSCO,,
TWST,,
WOOF,,
ZBRA,,
GOCO,,
RARE,,
CBSH,,
AEP,,
SNPS,,
MMYT,,
SAIA,,
RPRX,,
LTRPB,,
REE,,
CHNG,,
NUAN,,
ALRM,,
CDW,,
FCFS,,
VTRS,,
FWONK,,
ABMD,,
LAUR,,
HTHT,,
WDFC,,
FROG,,
GRFS,,
UPWK,,
INMD,,
ALHC,,
ZNTL,,
AAL,,
MCHP,,
WSC,,
ARWR,,
NXST,,
HOLX,,
NATI,,
OZK,,
DISCK,,
MTCH,,
NICE,,
PPBI,,
TTEK,,
DSGX,,
FEYE,,
LFST,,
EXPE,,
FFIV,,
SFM,,
VOD,,
EEFT,,
CTAS,,
DNUT,,
CRCT,,
PECO,,
IPAR,,
PINC,,
AGIO,,
BNR,,
MLCO,,
VRNT,,
XLRN,,
PACW,,
EXPD,,
ASND,,
PLMR,,
ABNB,,
JBLU,,
QDEL,,
ICLR,,
NVDA,,
BNTX,,
JAMF,,
CDNA,,
GDRX,,
CRWD,,
PEGA,,
NLOK,,
CENT,,
ONEM,,
XPER,,
CZR,,
ACIW,,
LIVN,,
FIZZ,,
BMRN,,
NDSN,,
PRFT,,
KRTX,,
MORF,,
POSH,,
BMBL,,
DBX,,
HOOD,,
APPF,,
TRIP,,
LILAK,,
BSY,,
BLMN,,
MAT,,
CGC,,
BCPC,,
MPWR,,
SAFM,,
DORM,,
ENPH,,
BIGC,,
FYBR,,
SGRY,,
LULU,,
WIX,,
AZN,,
HLNE,,
BRP,,
MGEE,,
SMFR,,
SBRA,,
SMTC,,
AMRS,,
CTXS,,
EXAS,,
AMGN,,
APA,,
GLPI,,
MNTV,,
STLD,,
KRNT,,
WISH,,
MKTW,,
VRTX,,
ZG,,
APLS,,
EXPI,,
MGLN,,
EBC,,
BIIB,,
FTNT,,
HCAT,,
