Ticker,Is 3/4 bar play,Has acceptable spreads
CG,False,True
TSCO,False,True
QDEL,False,True
ON,False,True
CSOD,,
INDB,,
MORN,,
ALGN,,
NTRA,,
LITE,,
DOMO,,
ALKT,,
RCKT,,
KHC,,
FULT,,
INNV,,
JCOM,,
PTRA,,
FSLR,,
WWD,,
LFUS,,
IBRX,,
NBIX,,
HLNE,,
CGC,,
SPLK,,
ASML,,
AVIR,,
FLYW,,
BGNE,,
CATY,,
RRR,,
SAVA,,
BOKF,,
CTRE,,
EBC,,
GRUB,,
MLCO,,
TTWO,,
FHB,,
BMRN,,
CENTA,,
MGNI,,
SKIN,,
MIME,,
CVAC,,
CYRX,,
JD,,
BBIO,,
ASO,,
CROX,,
COLM,,
MLHR,,
AGNC,,
CHDN,,
FWONA,,
LKQ,,
EBAY,,
OPEN,,
PPC,,
SFIX,,
MTCH,,
POSH,,
OTLY,,
HLMN,,
CCOI,,
HCAT,,
JAMF,,
MGEE,,
OMCL,,
CZR,,
SWIM,,
IEP,,
FRME,,
XLRN,,
UPWK,,
ERIC,,
PPD,,
NMRK,,
MDB,,
TECH,,
CELH,,
SNY,,
LBRDA,,
IOVA,,
TBLA,,
IAC,,
QLYS,,
FTDR,,
ABMD,,
CIGI,,
EYE,,
AMBA,,
VEON,,
BRKR,,
CRON,,
QFIN,,
INTU,,
RGEN,,
GRWG,,
HELE,,
EXPI,,
MGLN,,
NFLX,,
DOX,,
MMSI,,
ANGI,,
SANM,,
NWL,,
WSBC,,
CRNC,,
STNE,,
GT,,
IPAR,,
CHKP,,
VSAT,,
BNR,,
PTCT,,
CHTR,,
CDLX,,
JACK,,
TFSL,,
SDGR,,
CRTX,,
VNOM,,
OLED,,
PYCR,,
KLIC,,
LAZR,,
TWST,,
TWOU,,
PRVA,,
WB,,
BIGC,,
CFLT,,
AAON,,
FRPT,,
ENSG,,
ALGM,,
VIACA,,
SGMS,,
AUB,,
TIL,,
TTGT,,
MSTR,,
ROCK,,
ATAI,,
OKTA,,
SYNH,,
LTRPB,,
RARE,,
ALHC,,
ITCI,,
TLRY,,
SUMO,,
GSHD,,
ORLY,,
ALLK,,
DNUT,,
EEFT,,
NTCT,,
RETA,,
HYFM,,
NKLA,,
REE,,
TRMB,,
TW,,
ALXO,,
PAA,,
OLK,,
TXRH,,
CBSH,,
PODD,,
LBTYK,,
FSV,,
AMGN,,
BLKB,,
DISCK,,
DSGX,,
HOOD,,
IBKR,,
BEAM,,
LSXMK,,
PTC,,
BECN,,
SIGI,,
XP,,
WSC,,
HBAN,,
LOPE,,
UTHR,,
AMRS,,
CWST,,
MYGN,,
NLOK,,
BIIB,,
VTRS,,
PZZA,,
MARA,,
WBA,,
EQIX,,
RPRX,,
LBRDK,,
ONEM,,
VC,,
GOOG,,
XLNX,,
MNST,,
PECO,,
NARI,,
AFRM,,
CRTO,,
TROW,,
APPS,,
ARVL,,
RVMD,,
LPRO,,
AMZN,,
PLUG,,
AKAM,,
EXC,,
PAYX,,
SBGI,,
SBUX,,
ROST,,
COHR,,
SRPT,,
TENB,,
NVAX,,
WYNN,,
MEOH,,
CSX,,
BHF,,
IHRT,,
AFYA,,
IIVI,,
ZI,,
DFH,,
ARGX,,
RPAY,,
ASTR,,
TSEM,,
NAVI,,
RVNC,,
VIAC,,
FCFS,,
HOLX,,
VCEL,,
LULU,,
DCBO,,
API,,
FA,,
PACB,,
PRTA,,
FTNT,,
SONO,,
TPTX,,
SRNG,,
IRWD,,
AMCX,,
VCTR,,
TGTX,,
MOMO,,
TREE,,
PCAR,,
COUP,,
NTES,,
SITM,,
FORM,,
DSEY,,
HALO,,
IRBT,,
MVIS,,
SHC,,
XRAY,,
MMYT,,
CHX,,
IBTX,,
MAT,,
MASI,,
SHLS,,
LECO,,
CONE,,
LSXMA,,
FANG,,
SWAV,,
ZNTL,,
IAS,,
NFE,,
ROKU,,
UPST,,
BKNG,,
EXPE,,
AAPL,,
PCTY,,
CREE,,
GRFS,,
SSB,,
BRKS,,
CME,,
CYTK,,
TCBI,,
FIVN,,
ACCD,,
ANSS,,
HON,,
TOWN,,
SNBR,,
FLEX,,
PDCO,,
OTTR,,
BLI,,
BCRX,,
CRSP,,
ALRM,,
TER,,
VIRT,,
MELI,,
FFIE,,
HQY,,
ILMN,,
MVST,,
VRNT,,
WLTW,,
CRUS,,
UAL,,
POOL,,
SLGN,,
VERV,,
SEDG,,
RXRX,,
PEGA,,
SSRM,,
CMCSA,,
CDNS,,
FFIN,,
NOVT,,
CENT,,
DLTR,,
DOOO,,
QCOM,,
EVGO,,
ARNA,,
PRFT,,
TBIO,,
IBOC,,
SGEN,,
BAND,,
SMTC,,
IMAB,,
AMD,,
PPBI,,
RMBS,,
BPOP,,
CVBF,,
POWI,,
TRUP,,
QRVO,,
NTNX,,
ACHC,,
EXLS,,
ACAD,,
AZN,,
AY,,
ADI,,
ENVX,,
VG,,
EXPO,,
TMUS,,
DADA,,
UCBI,,
ALEC,,
PLXS,,
SBLK,,
ESGR,,
GBT,,
CACC,,
BILI,,
PCH,,
PENN,,
SIVB,,
DNLI,,
FOXF,,
NTRS,,
WDAY,,
HWC,,
MCHP,,
SEER,,
WKME,,
AAL,,
SIMO,,
KTOS,,
IRDM,,
ESLT,,
MKTX,,
RAVN,,
VRRM,,
IQ,,
INCY,,
AVT,,
MNDY,,
ERAS,,
SMFR,,
